"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"2","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"3","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"4","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"5","-",NA,"€50.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"6","-",NA,"€45.04",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"7","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"8","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"9","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"10","-",NA,"€72.49",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"11","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"12","-",NA,"€58.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"13","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"14","-",NA,"€31.93",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"15","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"16","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"17","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"18","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"19","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"20","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"21","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"22","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"23","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"24","-",NA,"€19.90*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"25","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"26","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"27","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"28","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"29","-",NA,"€6.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"30","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"31","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"32","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"33","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"34","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"35","-",NA,"€12.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"36","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"37","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"38","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"39","-",NA,"€21.30",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"40","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"41","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"42","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"43","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"44","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"45","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"46","-",NA,"€13.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"47","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"48","-",NA,"€32.13",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"49","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
